panel	plotted	dataset	tool	call_set	short	replicate	role	cutoff_bp	n	n_matched	atlas_agreement_precision_100bp	recall_detected_genes_100bp	R_det_denominator	recall_full_atlas_100bp	R_full_denominator	F1_detected_genes_100bp	null_P_seed1	null_P_seed2	null_P_seed3	null_P_mean	source
b	True	gse104556	PeakATail	PeakATail precision default (tier-1, IP, >=2 molecules; pre-registered)	precision default (tier-1, IP, >=2 mol)	mouse1	path4	100	26255	19560	0.745001	0.204790	126686	0.097656	301006	0.321268	0.014892	0.012950	0.013940	0.013927	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
	False	gse104556	PeakATail	PeakATail tier-2 (coverage-only), IP filter	tier-2 (IP)	mouse1	extra	100	19191	2285	0.119066	0.022789	126686	0.010541	301006	0.038255	0.015007	0.013392	0.015111	0.014503	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier2.tsv
b	True	gse104556	scUTRquant	scUTRquant (catalog)	scUTRquant*	mouse2	catalog	100	35845	28092	0.783708	0.258884	126686	0.151635	301006	0.389202	0.014870	0.013921	0.013893	0.014228	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
b	True	gse104556	polyApipe	polyApipe	polyApipe	mouse2	competitor	100	87983	36244	0.411943	0.250762	126686	0.170070	301006	0.311751	0.014503	0.014605	0.014321	0.014476	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
b	True	gse104556	Sierra	Sierra	Sierra	mouse2	competitor	100	21335	12397	0.581064	0.117298	126686	0.061703	301006	0.195193	0.015889	0.013265	0.013499	0.014218	results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
b	True	gse104556	scAPAtrap	scAPAtrap	scAPAtrap	mouse2	competitor	100	151140	36109	0.238911	0.258576	126686	0.167907	301006	0.248355	0.014298	0.014047	0.014027	0.014124	results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
	False	gse104556	PeakATail	PeakATail shipped (pre-fix caller)	shipped	mouse2	path0	100	46654	17163	0.367878	0.200930	126686	0.094556	301006	0.259904	0.015433	0.013332	0.014232	0.014332	results/benchmark_tools/gse104556/peakatail/score_peakatail_mouse2.tsv
	False	gse104556	PeakATail	PeakATail both tiers, IP filter	both tiers (IP)	mouse2	path1	100	72308	32821	0.453906	0.305693	126686	0.148821	301006	0.365340	0.015268	0.014369	0.014812	0.014816	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2.tsv
b	True	gse104556	PeakATail	PeakATail tier-1 >=1 molecule, IP filter	tier-1 >=1 mol (IP)	mouse2	path3	100	51842	30483	0.587998	0.282628	126686	0.138180	301006	0.381759	0.014448	0.013541	0.013715	0.013901	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
b	True	gse104556	PeakATail	PeakATail precision default (tier-1, IP, >=2 molecules; pre-registered)	precision default (tier-1, IP, >=2 mol)	mouse2	path4	100	26526	20086	0.757219	0.208002	126686	0.099503	301006	0.326357	0.013722	0.012667	0.014966	0.013785	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
	False	gse104556	PeakATail	PeakATail tier-2 (coverage-only), IP filter	tier-2 (IP)	mouse2	extra	100	20466	2338	0.114238	0.023152	126686	0.010687	301006	0.038501	0.015538	0.014170	0.014121	0.014610	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier2.tsv
b	True	gse104556	SCAPTURE	SCAPTURE	SCAPTURE	mouse1	competitor	100	23645	16399	0.693550	0.155092	126686	0.088938	301006	0.253497	0.014083	0.013322	0.013576	0.013660	results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
