mouse	group	n	frac_A_run_ge6	mean_A_frac_ds	frac_PAS_hexamer
mouse1	atlas-supported	17022	0.0357184819645165	0.3021090353659969	0.0894136999177535
mouse1	atlas-UNsupported	29442	0.0538686230554989	0.3022620745873242	0.0414713674342775
mouse1	in 3'UTR	16912	0.0364829706717123	0.3002542573320719	0.0847918637653737
mouse1	outside 3'UTR	29552	0.0533635625338386	0.3033229561451001	0.0442948023822414
mouse2	atlas-supported	17227	0.0365124513844546	0.3039221377295331	0.0926452661519707
mouse2	atlas-UNsupported	29916	0.0540847706912688	0.3048268485091589	0.0435218612113919
mouse2	in 3'UTR	17321	0.037930835402113	0.3020976464022477	0.0852144795335142
mouse2	outside 3'UTR	29822	0.0533163436389242	0.3058893881474526	0.0476829186506605
