method	n_perms	n_null_tests	frac_null_p_lt_05	frac_null_q_lt_fdr	n_runs_with_q_hit	mean_hits_per_null_run	min_null_p	n_fam	n_fam_hit	true_n_tests	true_q_hits
fisher	20	2640	0.38636363636363635	0.31856060606060604	20	42.05	1.0161731157570734e-20	120	112	56	40
nb	20	58148	0.21312856848042924	0.12046845979225425	20	350.25	2.544879696950801e-36	120	118	331	316
