panel	arm	arm_label	null_share_tests_at_dispersion_floor	null_share_q_hits_from_floored_tests	dispersion_floor	min_null_p	source
e	C_nb_pairwise	C  nb_pairwise, top-200 markers	0.0081133648	0.13100437	0.0001	5.5708372e-37	results/figures/manuscript/fig4_calibration_stats.tsv
e	C0_nb_pairwise_nomarker	C0  nb_pairwise, no marker pre-sel.	0.085060019	0.67145938	0.0001	4.4097492e-182	results/figures/manuscript/fig4_calibration_stats.tsv
