gene_id	symbol	m1_delta	m2_delta	m1_mono_short	m2_mono_short	category
ENSMUSG00000022336	Eif3e	-0.0867269909513572	-0.0196520793693938	True	True	shorten in both
ENSMUSG00000045573	Penk	-0.0323904976792697	-0.0736842105263158	True	True	shorten in both
ENSMUSG00000006191	Cdkal1	-0.0224950884086444	-0.0833333333333333	True	True	shorten in both
ENSMUSG00000050107	Haspin	-0.049132784426902	-0.0562340966921119	True	True	shorten in both
ENSMUSG00000042797	Aqp11	-0.0342320151167499	-0.0701754385964912	False	True	shorten in both
ENSMUSG00000043424	Eif3j2	-0.0128205128205128	-0.0909090909090909	False	True	shorten in both
ENSMUSG00000014551	Mrps25	-0.0701754385964912	-0.0328293553045103	True	True	shorten in both
ENSMUSG00000042197	Zfp451	-0.0685450607000867	-0.0338983050847457	False	False	shorten in both
ENSMUSG00000084786	Ubl5	-0.0540761874570718	-0.0472396129766647	True	True	shorten in both
ENSMUSG00000034165	Ccnd3	-0.0830081753994796	-0.0164141414141414	True	False	shorten in both
ENSMUSG00000020849	Ywhae	-0.0298386804731585	-0.0678627513489898	True	True	shorten in both
ENSMUSG00000038274	Fau	-0.0953803925750595	0.0016462703962703	False	False	discordant
ENSMUSG00000070705	Eid2b	-0.0870292887029288	-0.0058651026392961	True	True	shorten in both
ENSMUSG00000091228	Gm20390	-0.0424789576393132	-0.05	True	True	shorten in both
ENSMUSG00000055839	Elob	-0.0261009003672978	-0.0663740833299193	True	True	shorten in both
ENSMUSG00000029022	Miip	-0.0412087912087911	-0.0501066831853534	False	False	shorten in both
ENSMUSG00000095528	Gm10375	-0.0976798143851508	0.0063694267515923	True	False	discordant
ENSMUSG00000036557	Stpg4	-0.0382797044565376	-0.052904728076407	False	False	shorten in both
ENSMUSG00000050035	Fhl4	-0.0707720299902751	-0.0193548387096774	True	False	shorten in both
ENSMUSG00000070822	Zscan18	-0.0649347571956652	-0.0241312741312741	True	True	shorten in both
ENSMUSG00000078938	Syce3	-0.0903854565365485	0.0025688496161884	False	False	discordant
ENSMUSG00000042688	Mapk6	-0.0445859872611464	-0.0423931914251207	True	False	shorten in both
ENSMUSG00000028643	Svbp	-0.0651761225688842	-0.0213695418424564	True	False	shorten in both
ENSMUSG00000031023	Akip1	-0.0049882629107981	-0.081346649484536	True	True	shorten in both
ENSMUSG00000002658	Gtf2f1	-0.0027800565126241	-0.0830128060093217	False	True	shorten in both
