panel	record	metric	value	n_features	source
b	GSM3516669-StageIIA	coverage	0.325700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516670-StageIB	AMI_celltype_vs_pas	0.682600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516670-StageIB	ARI_celltype_vs_pas	0.456400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516670-StageIB	coverage	0.354200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516671-MetBrain	AMI_celltype_vs_pas	0.387700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516671-MetBrain	ARI_celltype_vs_pas	0.244100		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516671-MetBrain	coverage	0.673500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516672-StageIB	AMI_celltype_vs_pas	0.779500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516672-StageIB	ARI_celltype_vs_pas	0.661100		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516672-StageIB	coverage	0.378100		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516673-Normal	AMI_celltype_vs_pas	0.446900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516673-Normal	ARI_celltype_vs_pas	0.200200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516673-Normal	coverage	0.554400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516674-StageIA	AMI_celltype_vs_pas	0.773900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516674-StageIA	ARI_celltype_vs_pas	0.670500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516674-StageIA	coverage	0.396900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516675-Normal	AMI_celltype_vs_pas	0.618000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516675-Normal	ARI_celltype_vs_pas	0.421800		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516675-Normal	coverage	0.869200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516676-Normal	AMI_celltype_vs_pas	0.687800		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516676-Normal	ARI_celltype_vs_pas	0.579300		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516676-Normal	coverage	0.842200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516677-MetAdrenal	AMI_celltype_vs_pas	0.679200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516677-MetAdrenal	ARI_celltype_vs_pas	0.615500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516677-MetAdrenal	coverage	0.759000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516678-MetBrain	AMI_celltype_vs_pas	0.718500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516678-MetBrain	ARI_celltype_vs_pas	0.651300		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516678-MetBrain	coverage	0.457000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	pbmc_10k_v3	AMI_pas_vs_celltype	0.708000		results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
b	pbmc_10k_v3	ARI_pas_vs_celltype	0.502300		results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
b	laughney_n17_summary	median_AMI	0.661600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	median_ARI	0.462700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	min_AMI	0.366700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	max_AMI	0.779500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	min_ARI	0.200200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	max_ARI	0.670500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	median_coverage	0.498000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	n_coverage_below_0.5	9.000000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	spearman_rho_coverage_vs_AMI	-0.338235		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	laughney_n17_summary	spearman_p_coverage_vs_AMI	0.184212		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
