mouse	direction	n_genes_guarded	n_monotone	true_frac	null_fixed_mean	null_fixed_sd	null_fixed_min	null_fixed_max	null_free_mean	null_free_sd	z_vs_null_fixed	ratio_true_over_null	n_null_shuffles	chance_1_in_6
mouse1	shortening	1548	486	0.313953488372093	0.17425710594315244	0.013261953359827244	0.1531007751937984	0.2002583979328165	0.17488790985253994	0.008501847631605275	10.533620398040695	1.8016682113067657	20	0.16666666666666666
mouse1	lengthening	1548	318	0.2054263565891473	0.17745478036175708	0.009835258058484885	0.1634366925064599	0.2009043927648579	0.17467204755653382	0.007344378967706215	2.8440104022750186	1.1576265016381508	20	0.16666666666666666
mouse2	shortening	1200	366	0.305	0.20987499999999998	0.0148143358536124	0.1883333333333333	0.2425	0.20674043458056315	0.00891646936908491	6.421145094857849	1.4532459797498511	20	0.16666666666666666
mouse2	lengthening	1200	291	0.2425	0.20354166666666665	0.01851559126474336	0.18	0.2508333333333333	0.2035963693686255	0.012054339197467288	2.104082595920997	1.1914022517911975	20	0.16666666666666666
