cluster	s_Spermatogonia	s_Spermatocyte	s_RoundSpermatid	s_Elongating	s_Sertoli	s_Leydig	s_Immune	n_cells	abs_Spermatogonia	abs_Spermatocyte	abs_RoundSpermatid	abs_Elongating	abs_Sertoli	abs_Leydig	abs_Immune	stage	somatic_abs_max	margin	z_s_Spermatogonia	z_s_Spermatocyte	z_s_RoundSpermatid	z_s_Elongating	z_s_Sertoli	z_s_Leydig	z_s_Immune	mouse	source
0	-0.007755907798275986	-0.18600622461570981	0.5271269122139125	0.735716331134504	-0.001570909354270619	-0.008781319815807867	-0.014910102185478558	187	0.03803575540275991	0.35453214789526244	1.4623986983251385	1.8302027794851645	0.005257980923984232	0.011645431135025915	0.007973438164970063	RoundSpermatid	0.011645431135025915	0.7736400735374213	-0.1166797801527377	-0.4786613688711211	0.6569602933846835	-0.45756608229504425	-0.2568796062619052	-0.3224327493173385	-0.3438218035453261	mouse2	PAS
1	-0.029733441059123365	-0.09192150154460214	0.2672830727465104	0.4791407171479044	-0.0019398585212680732	0.010722171843581152	-0.02120312707699774	145	0.02147837768159482	0.44917737687074916	1.1776541415630353	1.5294806297667047	0.005349344660005991	0.0312548081359416	0.004150656325741	RoundSpermatid	0.0312548081359416	0.19857665797522636	-0.7885573622430049	-0.17575427153912626	0.022822386436100094	-0.7144405437709688	-0.2957035934043608	0.4479468222765375	-0.5602581114692754	mouse2	PAS
10	0.07792993216012216	0.8873008592246088	-0.3302642462841021	0.2766606930490546	-0.0007709553819702789	0.08042340857177915	-0.04409976941732363	102	0.17387408888626402	1.3495663059694523	0.4523447969152371	1.1498495732300535	0.026573402735313674	0.1410816398572811	0.0027068435719695603	Spermatocyte	0.1410816398572811	0.47403453593806244	2.502831440116139	2.9768659760542016	-1.4354665880860273	-0.9171564073009328	-0.17270160692423767	3.2011158357020366	-1.3477434333013616	mouse2	PAS
11	-0.04239735744855613	0.08466530708565695	-0.22893931070353277	0.23308476727803132	-0.006307475572046855	-0.014826288869789988	-0.01942482347747928	78	0.013086560506140056	0.6119290336895311	0.6384973023462145	1.2150784397949486	0.0031031607000866625	0.005809723584653661	0.0013852671833193904	Spermatocyte	0.005809723584653661	1.353552546056409	-1.17570734047479	0.3927694577477829	-1.1881873656789743	-0.9607830883086262	-0.7553016177136971	-0.5612064392511168	-0.49909683019636286	mouse2	PAS
12	0.004411942675150034	-0.1900491128845529	0.010929384114576118	2.5679379749130726	0.023789632469065604	0.0013241652594942494	0.07336755753214749	66	0.01942981319860896	0.08917121681453789	0.5633353113859771	3.2935894775224406	0.02763183027627535	0.0082396265895635	0.08136909703327094	Elongating	0.08136909703327094	1.1214847365898706	0.2553049125008989	-0.49167750486407374	-0.6027979549228014	1.3767896490907694	2.411773524703714	0.07672958525426675	2.6923159951782525	mouse2	PAS
2	-0.0032440930977971415	-0.19160438946092223	0.6369860618325835	0.8554456285983605	-0.0014148624219352658	-0.012836734276745218	-0.014879755478946061	78	0.041907987120225164	0.35088988926963977	1.5900845373638925	1.9568352205304484	0.005440629489869063	0.00898959903353709	0.009421283475530161	RoundSpermatid	0.009421283475530161	0.9038155020423534	0.021251402378898675	-0.49668473981060624	0.9250669044212521	-0.3376973296452885	-0.2404590133007909	-0.48261988450390014	-0.34277808780722424	mouse2	PAS
3	0.01635757701838569	-0.2223655276324818	0.773698168582171	1.0404132342604135	0.0008959681737975983	-0.010844794195441218	-0.014699919966397204	138	0.05760138466559781	0.2939263937617998	1.7129349951726949	2.1522422549416347	0.007543528519110332	0.009156126854257016	0.007957962963037	RoundSpermatid	0.009156126854257016	0.6382108108523699	0.6204962114427972	-0.5957206594586166	1.258707022295167	-0.15251428221268026	0.002706347573285307	-0.4039391039916112	-0.336592996370173	mouse2	PAS
4	0.011763873769661709	-0.23385401180196738	0.3448311525313388	2.663273042437774	0.011462081101812674	-0.002191269584404526	0.009419812465330106	96	0.03211528000843062	0.13484587705737924	1.0710047239224705	3.5776663567755804	0.016525343736294173	0.01198007978968467	0.024415991589589108	Elongating	0.024415991589589108	0.9921741534101516	0.48006160511273843	-0.6327079968172372	0.21207519729137556	1.47223575852289	1.1145631266558678	-0.062128586210901685	0.49295812183243776	mouse2	PAS
5	-0.010385924637277564	-0.23703489655613666	0.7163130216719996	2.246820520941219	-0.003999449253915541	-0.018123495303899607	0.013068409595387886	91	0.02668886312115645	0.19894887951795373	1.5680450009897826	3.262476131309736	0.005593882539428454	0.006266580644255031	0.03798531493355973	RoundSpermatid	0.03798531493355973	0.06336282459961406	-0.19708231367059326	-0.6429489002963792	1.1186609968587309	1.0552981722591168	-0.5124313469151249	-0.6914446819476818	0.6184444985025588	mouse2	PAS
6	0.01335731841566645	-0.25674580646754536	0.8483532777079038	1.3548477108798356	-0.00529696179342466	-0.011775101649340348	-0.0075410626723351	106	0.05273738791261388	0.24174968595849114	1.7787653262178362	2.4580285295438706	0.0016345822465199146	0.0092413431597798	0.017995119448473505	RoundSpermatid	0.017995119448473505	0.9121246842192914	0.5287749763198522	-0.7064084536876858	1.4408996605391435	0.16228643324150424	-0.6489667145405099	-0.4406858501795116	-0.09037807296039266	mouse2	PAS
