set	truth	shift	n	median_d	modal_10bp_bin_lo	frac_within_10	frac_within_25	bin_lo	bin_width_bp	pct_of_calls	source	panel
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	60	20	0.810000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	80	20	0.580000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	100	20	0.320000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	120	20	0.260000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	140	20	0.180000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	160	20	0.340000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	180	20	0.150000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	200	20	0.280000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	220	20	0.270000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	240	20	0.300000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	260	20	0.410000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	95	7401	13	0	0.020000	0.035700	280	20	0.230000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-200	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-180	20	0.260000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-160	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-140	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-120	20	0.350000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-100	20	0.700000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-80	20	0.880000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-60	20	0.790000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-40	20	0.700000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	-20	20	1.060000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	0	20	1.940000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	20	20	1.320000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	40	20	2.200000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	60	20	1.150000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	80	20	2.290000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	100	20	2.640000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	120	20	1.060000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	140	20	0.880000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	160	20	0.090000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	180	20	0.530000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	200	20	0.620000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	220	20	0.260000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	240	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	260	20	0.000000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	0	1135	89	100	0.010600	0.036100	280	20	0.090000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-200	20	0.530000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-180	20	0.350000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-160	20	0.700000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-140	20	0.350000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-120	20	0.260000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-100	20	0.350000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-80	20	0.970000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-60	20	1.060000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-40	20	2.030000	results/paramsweep/leadB/dist_m1_tier2.txt	f
