mouse	per_gene	between_utr	agree	per_gene_only	between_utr_only	genes_tested_per_gene	genes_tested_between
mouse1	14946	10530	10108	4838	422	10501	10082
mouse2	15287	10845	10448	4839	397	10455	10188
