cluster	s_Spermatogonia	s_Spermatocyte	s_RoundSpermatid	s_Elongating	s_Sertoli	s_Leydig	s_Immune	n_cells	abs_Spermatogonia	abs_Spermatocyte	abs_RoundSpermatid	abs_Elongating	abs_Sertoli	abs_Leydig	abs_Immune	stage	somatic_abs_max	margin	z_s_Spermatogonia	z_s_Spermatocyte	z_s_RoundSpermatid	z_s_Elongating	z_s_Sertoli	z_s_Leydig	z_s_Immune	mouse	source
0	-0.015295831654691833	-0.10404993228777823	0.3604719664989999	0.4730430947862208	-0.0025438938831471216	-0.014280224972586521	-0.00815169490235258	116	0.023001347	0.4135664	1.5489529	1.8815985	0.0045684776	0.017611079	0.003874341	RoundSpermatid	0.017611079	0.8525359454187263	-0.3314153466507588	-0.29756770556786694	0.5549682398508594	-0.6144752692029686	-0.32558927864294307	-0.0623859284319662	-0.4538274901098567	mouse2	GEX
1	-0.019403963326044334	-0.14852944225945605	0.497872400211112	0.6142266936835499	-0.005462845058363952	-0.015109023743335457	-0.00440754300099595	153	0.020501189	0.36820182	1.6990787	2.0405884	0.0016822682	0.016508676	0.007548552	RoundSpermatid	0.016508676	1.2698861811462248	-0.4627819070419565	-0.41802866117203635	0.8518575199741883	-0.4875439772279224	-0.7543301188116547	-0.0915752055172476	-0.32162655263405604	mouse2	GEX
10	-0.023634602954084913	0.16640119069936324	-0.33533689489375296	0.007343517115872642	-0.003089118370686915	-0.021240591038787178	-0.011366637915458569	105	0.016234532	0.65432316	0.7109183	1.3360343	0.004325419	0.016033242	0.0030226086	Spermatocyte	0.016033242	1.032943359413927	-0.5980659292328556	0.4348774301810713	-0.9485073051766036	-1.0331630596234245	-0.4056728397703407	-0.3075214919629429	-0.5673427778068886	mouse2	GEX
11	0.0018841626175989713	-0.18171132756479375	-0.2026876612985759	2.8856286051117372	0.002021379756118784	0.006001807843645414	0.047065474277141375	80	0.020215672	0.1098972	0.65444285	3.8279583	0.006007978	0.023134727	0.052269496	Elongating	0.052269496	1.33660994741148	0.217952817673025	-0.5078929967992517	-0.6618842254161805	1.554562765084505	0.3449663895427504	0.6519224134961876	1.4958160400161618	mouse2	GEX
12	-0.0314937991966252	0.2256320180280556	-0.4328018265997331	-0.190832850727997	-0.004664304892317767	-0.03268935752618644	-0.018026614496394113	72	0.014497068	0.7076011	0.5908047	1.116394	0.003333294	0.011507398	0.001339157	Spermatocyte	0.011507398	1.4446694592732463	-0.8493810428699116	0.5952884164033346	-1.1591055735349594	-1.2113337721269166	-0.6370390916077922	-0.7107330181858901	-0.8024975393558358	mouse2	GEX
13	0.10771670109910124	1.1045950871519317	-0.45610766095051725	0.26225634455265784	-0.005541762577476073	-0.05619003592168584	-0.027063143577959557	68	0.18058494	1.5273525	0.43369126	1.3187729	0.012785952	0.017452009	0.0017257859	Spermatogonia	0.017452009	0.6264546196893575	3.602181384331127	2.9757267646417693	-1.2094638744234079	-0.8039833618378962	-0.7659216670826352	-1.5383981132468427	-1.1215651540211036	mouse2	GEX
14	-0.010520956288586864	-0.18850057994327699	-0.4298820656291271	2.649097637264197	0.013874879740477093	0.0015654053210138205	0.08525162033024487	37	0.0078358315	0.08104675	0.39252126	3.5506134	0.016119774	0.018993262	0.0893319	Elongating	0.0893319	1.5206374890439125	-0.17872818778582364	-0.5262798861752975	-1.1527966725418834	1.341909301258089	2.0860299555875224	0.4956777530728646	2.844117187995489	mouse2	GEX
2	-0.01593065103775925	-0.024244640460158836	0.07952615067820869	0.2734225699463366	0.007682093823774774	0.07677498379018571	-0.007164444462253832	150	0.025360694	0.47601485	1.1979294	1.6293998	0.01863765	0.11546364	0.008588447	RoundSpermatid	0.11546364	0.02934816367828722	-0.3517150949292197	-0.08143623914780165	-0.05208807546951443	-0.7939443528682004	1.1764223336941253	3.144466943988411	-0.4189690129051361	mouse2	GEX
3	-0.011636291818268467	-0.1829383058182931	0.6353645119349828	0.7672689841954233	-0.004501814096259616	-0.014087568894028665	-0.00685898452777015	76	0.029060291	0.33213195	1.8406591	2.1799645	0.0026447955	0.017808974	0.005308637	RoundSpermatid	0.017808974	1.363338392651806	-0.21439349842766325	-0.5112159419714485	1.1489448942241427	-0.34995111365728043	-0.6131721489151042	-0.05560081742835385	-0.4081836359322073	mouse2	GEX
4	-0.013697526551494303	-0.24207703703229647	0.7717788928220539	0.9888237646798383	-0.0017584975713517215	-0.017318489047908045	-0.009250285584284012	86	0.02816971	0.2604864	1.957896	2.3958404	0.0057300753	0.016484024	0.004902265	RoundSpermatid	0.016484024	1.5944655613228245	-0.28030601991546633	-0.6713775102934262	1.4437035514267074	-0.15076200989611718	-0.21022884457896673	-0.1693898660375652	-0.49261724060071976	mouse2	GEX
5	-0.0017195811498165125	-0.22425323007540268	0.10099669446134656	2.5982131670420046	0.0021846497795689644	-0.00788738615512848	0.013980841659992867	50	0.023669599	0.12824525	1.1204187	3.7369711	0.007393955	0.019018786	0.022117533	Elongating	0.022117533	1.1934463826973776	0.10271517167500138	-0.6231064565003693	-0.0056953959457502765	1.296161554372379	0.368947786567384	0.16276202085336414	0.3276424286718401	mouse2	GEX
6	-0.01157209843619197	-0.23776001306232192	0.7907551140243	1.2497635619422336	-0.004900801588436784	-0.026268000488187754	-0.0010170521346232278	85	0.030526226	0.24995698	1.9594538	2.6329498	0.002302955	0.011435515	0.015712352	RoundSpermatid	0.015712352	1.4008703572779224	-0.21234077361797113	-0.6596859958608174	1.4847065999614752	0.08383624268355287	-0.6717761550612978	-0.4845806921197065	-0.20191290776959256	mouse2	GEX
7	-0.014302314465190029	-0.23780299977975855	0.6145922133590127	2.1951413167824403	-0.005300314294830441	-0.020831476228905247	0.0160365298096959	91	0.024982743	0.18220317	1.6990281	3.4368327	0.005181741	0.021111332	0.030573865	RoundSpermatid	0.030573865	0.17028165363492465	-0.29964544580154545	-0.6598024139837688	1.1040609546024662	0.9337793009675416	-0.7304573056237318	-0.2931129696933637	0.40022599571412976	mouse2	GEX
8	0.0010200041377773647	-0.22099032162816135	0.05076802088630962	2.784417323262863	0.014444455728194038	-0.004977397237641688	0.02275986499963237	104	0.021904718	0.10319094	1.003248	3.857062	0.01871917	0.016420187	0.029702157	Elongating	0.029702157	1.273249188431413	0.19031944654262095	-0.6142697343814908	-0.1142274750401108	1.463568634974034	2.169690309205992	0.26524826459002465	0.6376178640172262	mouse2	GEX
9	-0.015389030152952279	0.5836078197516813	-0.49082197838461794	-0.21010551249077805	-0.007352386046116853	-0.04109527961347566	-0.021266038148157786	91	0.04368252	1.0402746	0.49677545	1.0136654	0.0032598618	0.0153335305	0.0010359908	Spermatocyte	0.0153335305	1.8991665045760027	-0.3343955739486022	1.5647709306274005	-1.2844731624914292	-1.2286608828993715	-1.031869324503308	-1.0067792933769748	-0.9168772052794508	mouse2	GEX
