panel	arm	stratum	n_null_tests	n_null_p_lt_05	frac_null_p_lt_05	method	doc_range_manuscript14	source
b	B0_fisher_cells_nomarker	<50	2579618	63445	0.024594727	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
b	B0_fisher_cells_nomarker	50-99	572280	21752	0.038009366	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
b	B0_fisher_cells_nomarker	100-199	436560	17219	0.039442459	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
b	B0_fisher_cells_nomarker	200-399	325080	12853	0.03953796	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
b	B0_fisher_cells_nomarker	400-599	151920	6082	0.040034229	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
b	B0_fisher_cells_nomarker	>=600	215700	8243	0.038215114	expressing cells per PAS = cells with count>0 in results/fdr_calibration_v2/input/stage_labelled.h5ad layers['counts'] (all 1,230 labelled cells, label-independent); tests = every B0_fisher_cells_nomarker row of fig4_calibration_null_pvalues_all_arms.tsv.gz (20 permutations x 3 pairs); bin edges 50/100/200/400/600	2.6-4.0% (6 strata, <50 to >=600 expressing cells; verifier's exact bin edges not persisted)	results/fdr_calibration_v2/fig4_calibration_null_pvalues_all_arms.tsv.gz + results/fdr_calibration_v2/input/stage_labelled.h5ad
