mouse	pas_subset	n_genes_fixed	stages	pb_wdi_Spermatogonia	pb_wdi_Spermatocyte	pb_wdi_RoundSpermatid	pb_wdi_Elongating	pb_monotone_down	pb_delta_last_minus_first	pb_frac_genes_shortening	pb_rho	pb_p
mouse1	all	1327	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6689756463421838	0.6870155725947731	0.6911453548967751	0.6840244476099526	False	0.0150488012677688	0.4174830444611906	0.0358190188887823	0.0090580855702132
mouse1	atlas	445	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.608339493558397	0.6069566050892136	0.590012942095569	0.5793267810919244	True	-0.0290127124664726	0.5528089887640449	-0.0310929317848473	0.1897875920384436
mouse1	noatlas	336	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5504367068349746	0.5656688938016652	0.5814745378044308	0.5744470092728959	False	0.0240103024379213	0.4077380952380952	0.0398495948675262	0.1442540915462218
mouse1	utr3	283	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6101934212759028	0.5975223531210082	0.5649749453121004	0.5424645092952673	True	-0.0677289119806354	0.6643109540636042	-0.0669282533786799	0.0243316012494587
mouse2	all	1060	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6641852019601002	0.695835470564705	0.7001143123694179	0.6958401406635883	False	0.0316549387034881	0.3858490566037736	0.067250498066638	1.1721424650472004e-05
mouse2	atlas	382	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6224914667143956	0.6272131214082913	0.6069292992704273	0.5930149389347706	False	-0.0294765277796249	0.5471204188481675	-0.0311122165496583	0.2241890490480364
mouse2	noatlas	236	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5531434140391941	0.5895494801637318	0.609863973926821	0.6180962951568458	False	0.0649528811176517	0.326271186440678	0.0934279797953764	0.0040657036087204
mouse2	utr3	242	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5657719178064223	0.5503054197625014	0.502237747424608	0.4821117652260285	True	-0.0836601525803938	0.6446280991735537	-0.0912698020630678	0.0044843571524661
