panel	dataset	tool	N	atlas_agreement_precision_100bp	recall_detected_genes_100bp	F1_detected_genes_100bp	plotted	source	is_native_budget
c	pbmc_10k_v3	scAPAtrap	787138	0.099900	0.300400	0.150000	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	True
c	pbmc_10k_v3	SCAPTURE	35759	0.651800	0.117600	0.199200	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	True
c	pbmc_10k_v3	Sierra	9456	0.641200	0.035400	0.067100	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	13560	0.578800	0.045600	0.084500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	14939	0.561300	0.048600	0.089400	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	20320	0.506900	0.059000	0.105700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	24043	0.474300	0.064800	0.114000	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	29814	0.436100	0.072900	0.124900	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	35759	0.406600	0.080400	0.134200	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	40519	0.385500	0.085400	0.139900	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	46524	0.363600	0.091500	0.146200	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	Sierra	106170	0.255900	0.135000	0.176700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	True
c	pbmc_10k_v3	scUTRquant	9456	0.875400	0.052900	0.099700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	13560	0.877400	0.075600	0.139200	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	14939	0.877300	0.083000	0.151600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	20320	0.869800	0.109500	0.194500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	24043	0.863100	0.126400	0.220500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	29814	0.844600	0.149300	0.253700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	35759	0.816500	0.167600	0.278100	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	scUTRquant	40519	0.792600	0.177700	0.290300	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	True
d	gse104556	PeakATail	22550	0.773500	0.186500	0.300600	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	PeakATail	23645	0.767700	0.193500	0.309100	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	PeakATail	26255	0.745000	0.204800	0.321300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
d	gse104556	PeakATail	35732	0.672800	0.236800	0.350300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
