note	group	level	file_levels	n	frac_of_trusted_novel	n_hit_t5	frac_t5	t5_wilson95_lo	t5_wilson95_hi	n_hit_t20	frac_t20	t20_wilson95_lo	t20_wilson95_hi
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	feature	3'UTR	3utr	1081	0.1489185838269734	831	0.7687326549491211	0.7426724984048723	0.7928896293544552	594	0.5494912118408881	0.5197082684699008	0.5789236552310426
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	feature	other exon	other_exon	545	0.07507921201267392	335	0.6146788990825688	0.5731527869202263	0.6545996869085321	207	0.3798165137614679	0.34004472566314586	0.4212706817643153
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	feature	intron	intronic	5037	0.6938972310235569	2076	0.4121500893388922	0.3986288104720708	0.42580526323981965	816	0.1620011911852293	0.15208418655399977	0.17243335128666368
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	feature	intergenic	intergenic	596	0.0821049731367957	281	0.4714765100671141	0.4317110371926114	0.5116073188553184	120	0.20134228187919462	0.17110738597113587	0.2354024597071875
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	support	2	2	4235	0.583413693346191	1697	0.4007083825265643	0.38604585629279725	0.41555087522969897	609	0.14380165289256197	0.13355637245904428	0.15469254431071883
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	support	3-4	3-4	1723	0.23736051797768287	903	0.5240858966918166	0.5004770233415746	0.5475876090965243	405	0.2350551363900174	0.21563621634541114	0.2556528268355008
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	support	>=5	5-9+10+	1301	0.17922578867612618	923	0.7094542659492697	0.6841957032102549	0.7334795601640823	723	0.5557263643351268	0.5286014896532645	0.5825231217032105
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	support_component_not_plotted	5-9	5-9	672	0.09257473481195758	465	0.6919642857142857	0.6560489525628378	0.7256973824830487	330	0.49107142857142855	0.4534321187394192	0.5288122377700744
POST HOC / exploratory: strata chosen after seeing the data; not a definition; not validated on held-out data	support_component_not_plotted	10+	10+	629	0.08665105386416862	458	0.7281399046104928	0.6920632355736762	0.7614468750112775	393	0.6248012718600954	0.5863134439803274	0.6617739684302569
