panel	library	arm	tier	width_bin_bp	n_calls	frac	median_width_bp	p90_width_bp	source
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	1-49	981	0.047917	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	50-99	1627	0.079471	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	100-149	1997	0.097543	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	150-199	2574	0.125727	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	200-299	5987	0.292434	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	300-399	3448	0.168417	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	400-599	2565	0.125287	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	600-799	827	0.040395	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	800-1199	392	0.019147	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	1200-1999	72	0.003517	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
b	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2	>=2000	2	0.000098	248.000000	517.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
