arm	run	seed	n_tests	n_pairs_tested	n_q_lt_fdr	n_pair_families_with_hit	frac_p_lt_05	frac_q_lt_fdr	min_pvalue	median_pvalue	hits_ES_vs_RS	hits_ES_vs_SPC	hits_RS_vs_SPC
B0_fisher_cells_nomarker	true		208888	3	60332	3	0.35190149745318067	0.2888246332963119	7.031879227518875e-134	0.2317108142781676	12918	21528	25886
B0_fisher_cells_nomarker	perm_01	1	214088	3	0	0	0.031071335151900154	0.0	4.463524235638662e-05	0.597942807817978	0	0	0
B0_fisher_cells_nomarker	perm_02	2	214114	3	0	0	0.028643619753962842	0.0	1.6370658455457924e-05	0.6052112444656329	0	0	0
B0_fisher_cells_nomarker	perm_03	3	214071	3	0	0	0.0289857103484358	0.0	3.0938650771117444e-06	0.6053831960911606	0	0	0
B0_fisher_cells_nomarker	perm_04	4	214079	3	0	0	0.03302052046207241	0.0	2.2313840343593263e-05	0.5943952465450718	0	0	0
B0_fisher_cells_nomarker	perm_05	5	214016	3	0	0	0.0348291716507177	0.0	2.1128021108574635e-06	0.5915316093686571	0	0	0
B0_fisher_cells_nomarker	perm_06	6	214065	3	0	0	0.029065937916053535	0.0	3.080073066525424e-06	0.602039529563406	0	0	0
B0_fisher_cells_nomarker	perm_07	7	214024	3	0	0	0.029954584532575785	0.0	7.842902893289213e-06	0.6021924132749412	0	0	0
B0_fisher_cells_nomarker	perm_08	8	214030	3	0	0	0.03462598701116666	0.0	1.6007675657247576e-05	0.5956354870315763	0	0	0
B0_fisher_cells_nomarker	perm_09	9	214066	3	0	0	0.029168574178057235	0.0	2.460752569470862e-05	0.6060287740537389	0	0	0
B0_fisher_cells_nomarker	perm_10	10	214063	3	0	0	0.02957073384938079	0.0	9.398622433379747e-06	0.6043074386443323	0	0	0
B0_fisher_cells_nomarker	perm_11	11	214065	3	0	0	0.02911265269894658	0.0	1.4953739937683528e-05	0.6071195979996107	0	0	0
B0_fisher_cells_nomarker	perm_12	12	214021	3	0	0	0.03025404049135365	0.0	2.280020188985705e-05	0.6014091086441902	0	0	0
B0_fisher_cells_nomarker	perm_13	13	214036	3	0	0	0.027247752714496625	0.0	3.402170584833124e-05	0.6098221684453372	0	0	0
B0_fisher_cells_nomarker	perm_14	14	214044	3	0	0	0.028386686849432827	0.0	2.454162130001988e-06	0.6091656102512493	0	0	0
B0_fisher_cells_nomarker	perm_15	15	213989	3	0	0	0.032655884180962574	0.0	7.748598252284788e-06	0.6001505682728618	0	0	0
B0_fisher_cells_nomarker	perm_16	16	214034	3	0	0	0.029434575815057422	0.0	5.103004372567286e-06	0.607490550199741	0	0	0
B0_fisher_cells_nomarker	perm_17	17	214120	3	0	0	0.029235942462170747	0.0	1.835236967997473e-05	0.6063342622958049	0	0	0
B0_fisher_cells_nomarker	perm_18	18	214114	3	0	0	0.028531529932652698	0.0	1.8282449133711144e-05	0.6054170184579699	0	0	0
