mouse	pas_subset	n_pas	n_cells	rho	p	rho_depth_adjusted	rho_depth_matched	null_abs_rho_max	monotone_down
mouse1	all	19962	1294	0.1640727310717414	2.9094150609812082e-09	0.1539592825881663	-0.0918438676299382	0.0849456525988318	False
mouse1	atlas	5510	1294	-0.7437925641945217	2.694104938069246e-228	-0.7318582508162724	-0.7989561998612618	0.0875196723583629	True
mouse1	noatlas	9545	1294	0.743828734378041	2.4923129006884785e-228	0.6390492978590052	0.7303577566566823	0.0685508267373801	False
mouse1	utr3	4269	1294	-0.8299090217699712	0.0	-0.8206158583073979		0.0814348110485664	True
mouse2	all	22375	1364	0.5410602406386084	1.4505716714521004e-104	0.3834689845034336	0.2788920149781557	0.0682684130442606	False
mouse2	atlas	6365	1364	-0.4791558914474399	3.241255462007367e-79	-0.4977635542239141	-0.4863820412861084	0.0832710957496315	False
mouse2	noatlas	11135	1364	0.7107853396000234	2.3982695631572663e-210	0.6217385823006021	0.7350166468251172	0.0857126552336024	False
mouse2	utr3	5060	1364	-0.7336970866965309	7.775791706475127e-231	-0.7740278504660932	-0.824536375670694	0.0755595721135595	True
