symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Sphkap	-0.596242846154849	-0.7862985685071575	True	True	2	2	0.941921858500528	0.952965235173824	0.5636792452830188	0.6002372479240806	0.345679012345679	0.1666666666666666	-0.6912707073310033
Ccdc113	-0.4553487710133279	-0.9087518309269722	True	True	3	2	0.9818037974683544	0.9799382716049384	0.94189852700491	0.9053295932678822	0.5264550264550265	0.0711864406779661	-0.6820503009701501
Rabif	-0.6292857741638025	-0.6951672862453532	True	True	2	2	0.6324503311258278	0.6951672862453532	0.0335429769392033	0.0268041237113402	0.0031645569620253	0.0	-0.6622265302045778
Cyth1	-0.7949866874472368	-0.5265857560161358	True	True	4	5	0.8907721280602636	0.8145604395604396	0.6918032786885245	0.694838056680162	0.0957854406130268	0.2879746835443038	-0.6607862217316862
Ppp3cc	-0.8365411469000186	-0.4817872918790349	True	True	3	4	0.9584923664122136	0.9891946992864424	0.6053105310531053	0.8915906788247213	0.1219512195121951	0.5074074074074074	-0.6591642193895267
Mob3b	-0.6550661358674714	-0.6576998801575074	True	True	3	3	0.7704507512520868	0.8017676767676768	0.5513196480938416	0.4740143369175627	0.1153846153846153	0.1440677966101695	-0.6563830080124894
Srsf2	-0.6344838308457712	-0.6597045338767193	True	True	2	2	0.9365671641791044	0.9827814569536424	0.8150851581508516	0.8340740740740741	0.3020833333333333	0.3230769230769231	-0.6470941823612453
Aopep	-0.4514035450720739	-0.8178597785977859	True	True	3	2	0.4748603351955307	0.84	0.12	0.276661514683153	0.0234567901234567	0.022140221402214	-0.6346316618349299
Mtmr12	-0.3612214029117035	-0.8888709677419355	True	True	3	3	0.8495934959349594	0.905	0.6143911439114391	0.3698347107438016	0.4883720930232558	0.0161290322580645	-0.6250461853268195
Ubl3	-0.6033914010378058	-0.6417784401390959	True	True	2	2	0.6118421052631579	0.6636363636363637	0.0619946091644204	0.1115618661257606	0.0084507042253521	0.0218579234972677	-0.6225849205884508
Psme3	-0.6151290230237599	-0.6271186440677966	True	True	2	2	0.6262626262626263	0.6271186440677966	0.2189922480620155	0.1521739130434782	0.0111336032388663	0.0	-0.6211238335457783
Mapk6	-0.8438791265348136	-0.394512085098339	True	True	2	3	0.9680170575692963	0.9027993779160186	0.8352059925093633	0.7051282051282052	0.1241379310344827	0.5082872928176796	-0.6191956058165763
Gm20532	-0.6684964780179743	-0.5633333333333332	True	True	2	2	0.9478260869565216	0.9833333333333332	0.6283185840707964	0.6551724137931034	0.2793296089385474	0.42	-0.6159149056756538
Nol4	-0.6301097393689986	-0.5952544373824592	True	True	4	3	0.65	0.6185567010309279	0.1451565700907228	0.0955882352941176	0.0198902606310013	0.0233022636484687	-0.6126820883757289
Zfhx3	-0.6633502742125362	-0.5569561157796452	True	True	4	4	0.7732793522267206	0.7857142857142857	0.1280602636534839	0.4487179487179487	0.1099290780141843	0.2287581699346405	-0.6101531949960908
Med22	-0.600971547536433	-0.617917011919179	True	True	2	2	0.9949109414758268	0.9972273567467652	0.9202898550724636	0.907514450867052	0.3939393939393939	0.3793103448275862	-0.609444279727806
