panel	dataset	series	mode	atlas_tier	cutoff_bp	replicate	n_query	n_matched	value
match_class	lg_annotate	N_genic	point	class_UI	100	4	10311	1348	0.130734
match_class	lg_annotate	N_genic	point	class_TE	100	5	10392	235	0.022614
match_class	lg_annotate	N_genic	point	class_AL	100	5	10392	321	0.030889
match_class	lg_annotate	N_genic	point	class_EX	100	5	10392	179	0.017225
match_class	lg_annotate	N_genic	point	class_IN	100	5	10392	6378	0.613741
match_class	lg_annotate	N_genic	point	class_DI	100	5	10392	2013	0.193707
match_class	lg_annotate	N_genic	point	class_UI	100	5	10392	1266	0.121824
match_class	atlas	atlas	background	class_TE	100	0	18432135	564914	0.030648
match_class	atlas	atlas	background	class_AL	100	0	18432135	635988	0.034504
match_class	atlas	atlas	background	class_EX	100	0	18432135	348266	0.018895
match_class	atlas	atlas	background	class_IN	100	0	18432135	10507671	0.570073
match_class	atlas	atlas	background	class_DI	100	0	18432135	3920458	0.212697
match_class	atlas	atlas	background	class_UI	100	0	18432135	2454745	0.133177
reference_density	atlas	plus_strand	genome_coverage	full	50	0	3088269832	718155115	0.232543
reference_density	atlas	plus_strand	genome_coverage	full	100	0	3088269832	1031645926	0.334053
reference_density	atlas	plus_strand	genome_coverage	full	200	0	3088269832	1386217575	0.448865
reference_density	atlas	plus_strand	genome_coverage	full	500	0	3088269832	1888412802	0.611479
reference_density	atlas	plus_strand	genome_coverage	full	1000	0	3088269832	2245372124	0.727065
reference_density	atlas	minus_strand	genome_coverage	full	50	0	3088269832	701814100	0.227252
reference_density	atlas	minus_strand	genome_coverage	full	100	0	3088269832	1012251846	0.327773
reference_density	atlas	minus_strand	genome_coverage	full	200	0	3088269832	1367689842	0.442866
reference_density	atlas	minus_strand	genome_coverage	full	500	0	3088269832	1878325397	0.608213
reference_density	atlas	minus_strand	genome_coverage	full	1000	0	3088269832	2242967140	0.726286
recall	lg_annotate	ref_full	interval	ref_full	50	0	18432135	401035	0.021757
recall	lg_annotate	ref_full	interval	ref_full	100	0	18432135	440110	0.023877
recall	lg_annotate	ref_full	interval	ref_full	200	0	18432135	501715	0.027220
recall	lg_annotate	ref_full	interval	ref_full	500	0	18432135	660492	0.035834
recall	lg_annotate	ref_full	interval	ref_full	1000	0	18432135	898796	0.048762
recall	lg_annotate	ref_full	point	ref_full	50	0	18432135	56008	0.003039
recall	lg_annotate	ref_full	point	ref_full	100	0	18432135	101360	0.005499
recall	lg_annotate	ref_full	point	ref_full	200	0	18432135	174503	0.009467
recall	lg_annotate	ref_full	point	ref_full	500	0	18432135	375867	0.020392
recall	lg_annotate	ref_full	point	ref_full	1000	0	18432135	670886	0.036398
recall	lg_annotate	ref_detected	interval	ref_detected	50	0	9825970	397238	0.040427
recall	lg_annotate	ref_detected	interval	ref_detected	100	0	9825970	435812	0.044353
recall	lg_annotate	ref_detected	interval	ref_detected	200	0	9825970	496654	0.050545
recall	lg_annotate	ref_detected	interval	ref_detected	500	0	9825970	653065	0.066463
recall	lg_annotate	ref_detected	interval	ref_detected	1000	0	9825970	886835	0.090254
recall	lg_annotate	ref_detected	point	ref_detected	50	0	9825970	55373	0.005635
recall	lg_annotate	ref_detected	point	ref_detected	100	0	9825970	100164	0.010194
recall	lg_annotate	ref_detected	point	ref_detected	200	0	9825970	172595	0.017565
recall	lg_annotate	ref_detected	point	ref_detected	500	0	9825970	372000	0.037859
recall	lg_annotate	ref_detected	point	ref_detected	1000	0	9825970	663740	0.067550
recall	lg_annotate	ref_te	interval	ref_te	50	0	1239362	205309	0.165657
recall	lg_annotate	ref_te	interval	ref_te	100	0	1239362	220488	0.177904
recall	lg_annotate	ref_te	interval	ref_te	200	0	1239362	238729	0.192622
recall	lg_annotate	ref_te	interval	ref_te	500	0	1239362	285683	0.230508
recall	lg_annotate	ref_te	interval	ref_te	1000	0	1239362	349457	0.281965
recall	lg_annotate	ref_te	point	ref_te	50	0	1239362	28323	0.022853
recall	lg_annotate	ref_te	point	ref_te	100	0	1239362	47205	0.038088
recall	lg_annotate	ref_te	point	ref_te	200	0	1239362	76331	0.061589
recall	lg_annotate	ref_te	point	ref_te	500	0	1239362	157397	0.126998
recall	lg_annotate	ref_te	point	ref_te	1000	0	1239362	265632	0.214330
recall	lg_annotate	ref_tpm1	interval	ref_tpm1	50	0	34104	15859	0.465019
recall	lg_annotate	ref_tpm1	interval	ref_tpm1	100	0	34104	18872	0.553366
recall	lg_annotate	ref_tpm1	interval	ref_tpm1	200	0	34104	18975	0.556386
recall	lg_annotate	ref_tpm1	interval	ref_tpm1	500	0	34104	19242	0.564215
recall	lg_annotate	ref_tpm1	interval	ref_tpm1	1000	0	34104	19991	0.586178
recall	lg_annotate	ref_tpm1	point	ref_tpm1	50	0	34104	6006	0.176108
recall	lg_annotate	ref_tpm1	point	ref_tpm1	100	0	34104	9892	0.290054
recall	lg_annotate	ref_tpm1	point	ref_tpm1	200	0	34104	11507	0.337409
recall	lg_annotate	ref_tpm1	point	ref_tpm1	500	0	34104	14738	0.432149
recall	lg_annotate	ref_tpm1	point	ref_tpm1	1000	0	34104	17904	0.524982
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_precision	full	50	0	22633	22574	0.997393
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_recall	full	50	0	18432135	549403	0.029807
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_precision	full	100	0	22633	22602	0.998630
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_recall	full	100	0	18432135	601230	0.032619
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_precision	full	200	0	22633	22607	0.998851
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_recall	full	200	0	18432135	684695	0.037147
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_precision	full	500	0	22633	22618	0.999337
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_recall	full	500	0	18432135	903340	0.049009
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_precision	full	1000	0	22633	22627	0.999735
pipeline_audit	lg_annotate	pipeline_json	window_nostrand_recall	full	1000	0	18432135	1233134	0.066901
pipeline_audit	lg_annotate	reproduced	window_nostrand_precision	full	50	0	22633	22574	0.997393
pipeline_audit	lg_annotate	reproduced	window_nostrand_recall	full	50	0	18432135	549403	0.029807
pipeline_audit	lg_annotate	reproduced	window_nostrand_precision	full	100	0	22633	22602	0.998630
pipeline_audit	lg_annotate	reproduced	window_nostrand_recall	full	100	0	18432135	601230	0.032619
pipeline_audit	lg_annotate	reproduced	window_nostrand_precision	full	200	0	22633	22607	0.998851
pipeline_audit	lg_annotate	reproduced	window_nostrand_recall	full	200	0	18432135	684695	0.037147
pipeline_audit	lg_annotate	reproduced	window_nostrand_precision	full	500	0	22633	22618	0.999337
pipeline_audit	lg_annotate	reproduced	window_nostrand_recall	full	500	0	18432135	903340	0.049009
pipeline_audit	lg_annotate	reproduced	window_nostrand_precision	full	1000	0	22633	22627	0.999735
pipeline_audit	lg_annotate	reproduced	window_nostrand_recall	full	1000	0	18432135	1233134	0.066901
