panel	record	gsm	stage_label	stage_group	plot_position	metric	value
c	plotted	GSM3516668-MetBrain	MetBrain	Metastasis	0	coverage	0.2739
c	plotted	GSM3516662-StageIA	StageIA	Stage I–II	1	coverage	0.313
c	plotted	GSM3516669-StageIIA	StageIIA	Stage I–II	2	coverage	0.3257
c	plotted	GSM3516670-StageIB	StageIB	Stage I–II	3	coverage	0.3542
c	plotted	GSM3516672-StageIB	StageIB	Stage I–II	4	coverage	0.3781
c	plotted	GSM3516674-StageIA	StageIA	Stage I–II	5	coverage	0.3969
c	plotted	GSM3516666-Normal	Normal	Normal	6	coverage	0.4095
c	plotted	GSM3516678-MetBrain	MetBrain	Metastasis	7	coverage	0.457
c	plotted	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary	8	coverage	0.498
c	plotted	GSM3516673-Normal	Normal	Normal	9	coverage	0.5544
c	plotted	GSM3516663-StageIA	StageIA	Stage I–II	10	coverage	0.6592
c	plotted	GSM3516671-MetBrain	MetBrain	Metastasis	11	coverage	0.6735
c	plotted	GSM3516664-MetBone	MetBone	Metastasis	12	coverage	0.683
c	plotted	GSM3516667-StageIA	StageIA	Stage I–II	13	coverage	0.6947
c	plotted	GSM3516677-MetAdrenal	MetAdrenal	Metastasis	14	coverage	0.759
c	plotted	GSM3516676-Normal	Normal	Normal	15	coverage	0.8422
c	plotted	GSM3516675-Normal	Normal	Normal	16	coverage	0.8692
-	source	GSM3516662-StageIA	StageIA	Stage I–II		pas_cells	3418.0
-	source	GSM3516662-StageIA	StageIA	Stage I–II		gex_cells	1070.0
-	source	GSM3516662-StageIA	StageIA	Stage I–II		matched_cells	1070.0
-	source	GSM3516662-StageIA	StageIA	Stage I–II		n_gex_clusters	15.0
-	source	GSM3516662-StageIA	StageIA	Stage I–II		AMI_gexleiden_vs_pas	0.7391
-	source	GSM3516662-StageIA	StageIA	Stage I–II		ARI_gexleiden_vs_pas	0.4723
-	source	GSM3516663-StageIA	StageIA	Stage I–II		pas_cells	4657.0
-	source	GSM3516663-StageIA	StageIA	Stage I–II		gex_cells	3070.0
-	source	GSM3516663-StageIA	StageIA	Stage I–II		matched_cells	3070.0
-	source	GSM3516663-StageIA	StageIA	Stage I–II		n_gex_clusters	16.0
-	source	GSM3516663-StageIA	StageIA	Stage I–II		AMI_gexleiden_vs_pas	0.6565
-	source	GSM3516663-StageIA	StageIA	Stage I–II		ARI_gexleiden_vs_pas	0.5236
-	source	GSM3516664-MetBone	MetBone	Metastasis		pas_cells	1350.0
-	source	GSM3516664-MetBone	MetBone	Metastasis		gex_cells	922.0
-	source	GSM3516664-MetBone	MetBone	Metastasis		matched_cells	922.0
-	source	GSM3516664-MetBone	MetBone	Metastasis		n_gex_clusters	10.0
-	source	GSM3516664-MetBone	MetBone	Metastasis		AMI_gexleiden_vs_pas	0.4918
-	source	GSM3516664-MetBone	MetBone	Metastasis		ARI_gexleiden_vs_pas	0.3394
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		pas_cells	3659.0
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		gex_cells	1822.0
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		matched_cells	1822.0
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		n_gex_clusters	19.0
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		AMI_gexleiden_vs_pas	0.7207
-	source	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		ARI_gexleiden_vs_pas	0.5241
-	source	GSM3516666-Normal	Normal	Normal		pas_cells	3001.0
-	source	GSM3516666-Normal	Normal	Normal		gex_cells	1229.0
-	source	GSM3516666-Normal	Normal	Normal		matched_cells	1229.0
-	source	GSM3516666-Normal	Normal	Normal		n_gex_clusters	18.0
-	source	GSM3516666-Normal	Normal	Normal		AMI_gexleiden_vs_pas	0.5116
-	source	GSM3516666-Normal	Normal	Normal		ARI_gexleiden_vs_pas	0.1822
-	source	GSM3516667-StageIA	StageIA	Stage I–II		pas_cells	4160.0
-	source	GSM3516667-StageIA	StageIA	Stage I–II		gex_cells	2890.0
-	source	GSM3516667-StageIA	StageIA	Stage I–II		matched_cells	2890.0
-	source	GSM3516667-StageIA	StageIA	Stage I–II		n_gex_clusters	21.0
-	source	GSM3516667-StageIA	StageIA	Stage I–II		AMI_gexleiden_vs_pas	0.576
-	source	GSM3516667-StageIA	StageIA	Stage I–II		ARI_gexleiden_vs_pas	0.4037
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		pas_cells	4133.0
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		gex_cells	1132.0
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		matched_cells	1132.0
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		n_gex_clusters	11.0
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		AMI_gexleiden_vs_pas	0.5667
-	source	GSM3516668-MetBrain	MetBrain	Metastasis		ARI_gexleiden_vs_pas	0.2795
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		pas_cells	3420.0
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		gex_cells	1114.0
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		matched_cells	1114.0
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		n_gex_clusters	17.0
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		AMI_gexleiden_vs_pas	0.6518
-	source	GSM3516669-StageIIA	StageIIA	Stage I–II		ARI_gexleiden_vs_pas	0.4386
-	source	GSM3516670-StageIB	StageIB	Stage I–II		pas_cells	1036.0
