cluster	s_Spermatogonia	s_Spermatocyte	s_RoundSpermatid	s_Elongating	s_Sertoli	s_Leydig	s_Immune	n_cells	abs_Spermatogonia	abs_Spermatocyte	abs_RoundSpermatid	abs_Elongating	abs_Sertoli	abs_Leydig	abs_Immune	stage	somatic_abs_max	margin	z_s_Spermatogonia	z_s_Spermatocyte	z_s_RoundSpermatid	z_s_Elongating	z_s_Sertoli	z_s_Leydig	z_s_Immune	mouse	source
0	-0.01067214664740919	-0.25331156965113993	0.7211007159901948	1.9336505507273243	-0.01295985877048432	-0.01576964882650861	-0.008455378520819876	72	0.031743567	0.2061248	1.8249677	3.178982	0.0042842044	0.04108801	0.017062845	RoundSpermatid	0.04108801	0.8079267997847078	-0.14370416021785462	-0.8648899137838181	1.5212840448752416	0.7133572450905338	-0.3955178199057567	-0.4328331871557803	0.05141269595410279	mouse1	GEX
1	-0.013953879822300718	-0.11214903619821323	0.47530516075984014	0.5412136520296936	-0.00792766799352541	-0.013907005930717904	-0.021259328660680286	67	0.029044827	0.41843653	1.6586126	1.912292	0.003569532	0.03000277	0.0038109792	RoundSpermatid	0.03000277	1.2173612387359374	-0.2555357474607048	-0.3601794215886543	0.9618254912752325	-0.47886819092634136	-0.2543036532158576	-0.34950128196831376	-0.43238308137151105	mouse1	GEX
10	-0.015155594607210271	0.030787801161620377	-0.15681024778808156	0.07805475559588784	-0.008516986195912072	-0.019106046500660123	-0.02276841412460993	84	0.02297225	0.54577315	0.9661987	1.4205751	0.0019341101	0.02642774	0.002007615	Spermatocyte	0.02642774	0.44736146095885077	-0.2964865696780161	0.15087489128083464	-0.47694085192846236	-0.8754318109814844	-0.2708411977076651	-0.5820987147984543	-0.4894037013440742	mouse1	GEX
11	-0.017498999907080984	-0.029350759569446484	0.06109402190176536	0.2645432850368525	-0.0031694632200202104	-0.0057035103959230645	-0.020980633331175464	67	0.020368723	0.49235705	1.2062945	1.6168194	0.006629901	0.036199078	0.0023812144	RoundSpermatid	0.036199078	0.08317762725289411	-0.37634276769037006	-0.06414365396656371	0.019033973286330403	-0.7157575244605979	-0.12077812689698053	0.017511049625783977	-0.4218526105322773	mouse1	GEX
12	-0.0300712823284537	0.38906209128243585	-0.5239641110659577	-0.38229587798730735	-0.01582542141222261	-0.045820960252503165	-0.0318150937907836	51	0.021366943	0.8928523	0.5252721	0.84372145	0.0015527194	0.01981017	0.002378344	Spermatocyte	0.01981017	2.236611941111544	-0.8047683049048532	1.4318436362066909	-1.312624675037438	-1.269590954105105	-0.47593171089009745	-1.7772846867798902	-0.8312314477429704	mouse1	GEX
13	-0.020157532694912782	0.15440362386352152	-0.3897421868909437	0.02619198912176328	-0.007471241878492013	0.017313331000658932	-0.022588126829692298	98	0.018497791	0.6513174	0.68284833	1.3367876	0.003927664	0.07051565	0.0019083163	Spermatocyte	0.07051565	1.0597866880078541	-0.4669375618299687	0.5928491261778855	-1.0071203566619933	-0.9198374924385667	-0.24149534837474013	1.0472507003711866	-0.48259156672672093	mouse1	GEX
14	0.10701773325967506	0.8716232618447635	-0.4230269286984932	0.1955621192618361	0.14637652149977515	-0.037620594291947786	-0.052720280438661574	64	0.17949837	1.3424896	0.4487562	1.2250985	0.18285193	0.044620175	0.0	Spermatogonia	0.18285193	0.7096267461784129	3.8668126524004283	3.1571859062220153	-1.0828802030560818	-0.7748202371192418	4.075805935599252	-1.4104123677369849	-1.6211315109243654	mouse1	GEX
15	-0.02801339117344858	0.1830135207898689	-0.46384590083192545	0.2802740305474719	-0.015133288833830092	-0.0066968871653079985	-0.030786158786879642	60	0.01869383	0.6443532	0.53522	1.4956477	0.0	0.05695035	0.0048202006	Spermatocyte	0.05695035	1.3974291635646123	-0.7346415694353092	0.6951405402390032	-1.1757888119518252	-0.7022886233256093	-0.4565089724390531	-0.0269311668338968	-0.7923532574506208	mouse1	GEX
16	6.902100823193575e-05	-0.1725463148414782	-0.28185779822792256	2.8199403712344053	-0.002213538022730363	0.03999960379030719	0.030008160033315984	53	0.012529606	0.11864358	0.52740264	3.7513952	0.002711025	0.0620136	0.03855244	Elongating	0.0620136	1.2498894344544889	0.22232249818395597	-0.5761229831389709	-0.7615632554326004	1.4722119326384449	-0.09395279651180352	2.062201197557844	1.504753058125706	mouse1	GEX
17	0.001812750863783275	-0.1751619654093986	-0.16061286581091688	2.978430664281092	0.0063210651040449565	0.01255432015436667	0.043328004748732954	45	0.01674614	0.11326486	0.69435084	3.9041204	0.012013043	0.03728676	0.05303769	Elongating	0.05303769	1.326170145318827	0.2817435623219621	-0.5854749425665473	-0.48559604171395304	1.6079137076407892	0.14554664259827807	0.8343395505605826	2.008041852408833	mouse1	GEX
