mouse	pas_subset	labels	stage	n_cells	mean	sd	q1	median	q3
mouse1	utr3	GEXlabels	Spermatogonia	64	0.6084624639696534	0.03305852197314465	0.5911288592369668	0.607620808155471	0.6298946170208479
mouse1	utr3	GEXlabels	Spermatocyte	370	0.5791547746696861	0.02907235739804239	0.559545595106063	0.5729682104430969	0.5934553463073866
mouse1	utr3	GEXlabels	RoundSpermatid	504	0.5275971221326575	0.03747836669982256	0.4993197439313029	0.5298851590461954	0.5551960849030556
mouse1	utr3	GEXlabels	Elongating	356	0.45805224140183354	0.03069903784939776	0.43823821609412994	0.45632979944483654	0.47476309583500254
mouse2	utr3	GEXlabels	Spermatogonia	68	0.5793598223395876	0.03339123129630734	0.5568442266798149	0.5834755468935486	0.5997852817627093
mouse2	utr3	GEXlabels	Spermatocyte	268	0.5521406277674963	0.024352078498913254	0.5340777521568494	0.5501776995354872	0.5674279307999334
mouse2	utr3	GEXlabels	RoundSpermatid	757	0.4977543127859414	0.03775298642912733	0.4732342808087976	0.4966557171092405	0.5217082680384395
mouse2	utr3	GEXlabels	Elongating	271	0.4582421946351432	0.024375865630385293	0.44225079752216445	0.4570690065696495	0.47193714991429536
