arm	bin_lo	bin_hi	count	density
A_fisher_reads	0.0	0.05	1308	4.05392840539284
A_fisher_reads	0.05	0.1	455	1.4101968076863476
A_fisher_reads	0.1	0.15000000000000002	357	1.1064621106462111
A_fisher_reads	0.15000000000000002	0.2	299	0.9267007593367426
A_fisher_reads	0.2	0.25	307	0.9514954284828763
A_fisher_reads	0.25	0.30000000000000004	303	0.9390980939098094
A_fisher_reads	0.30000000000000004	0.35000000000000003	245	0.759336742600341
A_fisher_reads	0.35000000000000003	0.4	293	0.9081047574771424
A_fisher_reads	0.4	0.45	252	0.7810320781032077
A_fisher_reads	0.45	0.5	251	0.7779327444599411
A_fisher_reads	0.5	0.55	217	0.6725554005888734
A_fisher_reads	0.55	0.6000000000000001	242	0.7500387416705407
A_fisher_reads	0.6000000000000001	0.65	227	0.7035487370215404
A_fisher_reads	0.65	0.7000000000000001	246	0.7624360762436077
A_fisher_reads	0.7000000000000001	0.75	239	0.7407407407407407
A_fisher_reads	0.75	0.8	252	0.7810320781032077
A_fisher_reads	0.8	0.8500000000000001	230	0.7128467379513405
A_fisher_reads	0.8500000000000001	0.9	196	0.6074693940802727
A_fisher_reads	0.9	0.9500000000000001	219	0.6787540678754068
A_fisher_reads	0.9500000000000001	1.0	315	0.9762900976290099
B_fisher_cells	0.0	0.05	840	2.603440260344026
B_fisher_cells	0.05	0.1	440	1.363706803037347
B_fisher_cells	0.1	0.15000000000000002	385	1.1932434526576787
B_fisher_cells	0.15000000000000002	0.2	326	1.0103827677049435
B_fisher_cells	0.2	0.25	305	0.9452967611963428
B_fisher_cells	0.25	0.30000000000000004	316	0.9793894312722764
B_fisher_cells	0.30000000000000004	0.35000000000000003	265	0.8213234154656748
B_fisher_cells	0.35000000000000003	0.4	301	0.932899426623276
B_fisher_cells	0.4	0.45	285	0.8833100883310088
B_fisher_cells	0.45	0.5	263	0.8151247481791415
B_fisher_cells	0.5	0.55	257	0.7965287463195413
B_fisher_cells	0.55	0.6000000000000001	203	0.6291647295831395
B_fisher_cells	0.6000000000000001	0.65	257	0.7965287463195413
B_fisher_cells	0.65	0.7000000000000001	220	0.6818534015186735
B_fisher_cells	0.7000000000000001	0.75	230	0.7128467379513405
B_fisher_cells	0.75	0.8	219	0.6787540678754068
B_fisher_cells	0.8	0.8500000000000001	194	0.6012707267937394
B_fisher_cells	0.8500000000000001	0.9	240	0.7438400743840075
B_fisher_cells	0.9	0.9500000000000001	179	0.5547807221447388
B_fisher_cells	0.9500000000000001	1.0	728	2.256314892298156
C_nb_pairwise	0.0	0.05	8882	4.935815504306752
C_nb_pairwise	0.05	0.1	4451	2.4734648513475967
C_nb_pairwise	0.1	0.15000000000000002	3361	1.8677410391775493
C_nb_pairwise	0.15000000000000002	0.2	2490	1.3837176993609335
C_nb_pairwise	0.2	0.25	2028	1.1269797165879412
C_nb_pairwise	0.25	0.30000000000000004	1725	0.9585996110030565
C_nb_pairwise	0.30000000000000004	0.35000000000000003	1496	0.8313420394554043
C_nb_pairwise	0.35000000000000003	0.4	1287	0.7151986662961934
C_nb_pairwise	0.4	0.45	1164	0.6468463462072798
C_nb_pairwise	0.45	0.5	1096	0.6090580716865797
C_nb_pairwise	0.5	0.55	987	0.5484856904695748
C_nb_pairwise	0.55	0.6000000000000001	949	0.5273687135315366
C_nb_pairwise	0.6000000000000001	0.65	815	0.45290358432898026
C_nb_pairwise	0.65	0.7000000000000001	823	0.4573492636843568
C_nb_pairwise	0.7000000000000001	0.75	780	0.4334537371492081
C_nb_pairwise	0.75	0.8	744	0.4134481800500139
C_nb_pairwise	0.8	0.8500000000000001	734	0.4078910808557933
C_nb_pairwise	0.8500000000000001	0.9	718	0.3989997221450403
C_nb_pairwise	0.9	0.9500000000000001	732	0.4067796610169491
C_nb_pairwise	0.9500000000000001	1.0	728	0.4045568213392609
A0_fisher_reads_nomarker	0.0	0.05	409118	1.9112492461151867
A0_fisher_reads_nomarker	0.05	0.1	249604	1.166058342158827
A0_fisher_reads_nomarker	0.1	0.15000000000000002	221554	1.0350190298979856
A0_fisher_reads_nomarker	0.15000000000000002	0.2	204269	0.9542698494192459
A0_fisher_reads_nomarker	0.2	0.25	201040	0.9391851457012332
A0_fisher_reads_nomarker	0.25	0.30000000000000004	191836	0.8961874334000287
A0_fisher_reads_nomarker	0.30000000000000004	0.35000000000000003	174828	0.8167322953275725
A0_fisher_reads_nomarker	0.35000000000000003	0.4	173893	0.8123643182522112
A0_fisher_reads_nomarker	0.4	0.45	189475	0.8851577073305867
A0_fisher_reads_nomarker	0.45	0.5	196665	0.9187467502951305
A0_fisher_reads_nomarker	0.5	0.55	192661	0.9000415308194653
A0_fisher_reads_nomarker	0.55	0.6000000000000001	164868	0.7702028283001936
A0_fisher_reads_nomarker	0.6000000000000001	0.65	174190	0.8137517933232084
A0_fisher_reads_nomarker	0.65	0.7000000000000001	163070	0.7618032317424397
A0_fisher_reads_nomarker	0.7000000000000001	0.75	157068	0.7337640890618846
A0_fisher_reads_nomarker	0.75	0.8	146685	0.6852585211758128
A0_fisher_reads_nomarker	0.8	0.8500000000000001	137541	0.6425411068687491
A0_fisher_reads_nomarker	0.8500000000000001	0.9	107160	0.500612217535536
A0_fisher_reads_nomarker	0.9	0.9500000000000001	62597	0.2924302256539002
A0_fisher_reads_nomarker	0.9500000000000001	1.0	763036	3.5646243376208027
B0_fisher_cells_nomarker	0.0	0.05	129594	0.6054156375447951
B0_fisher_cells_nomarker	0.05	0.1	149415	0.6980120799092209
B0_fisher_cells_nomarker	0.1	0.15000000000000002	161464	0.7543005887659366
B0_fisher_cells_nomarker	0.15000000000000002	0.2	166235	0.776588950933369
B0_fisher_cells_nomarker	0.2	0.25	183316	0.8563851182320298
B0_fisher_cells_nomarker	0.25	0.30000000000000004	172800	0.8072582231256122
B0_fisher_cells_nomarker	0.30000000000000004	0.35000000000000003	166966	0.7800039148286515
B0_fisher_cells_nomarker	0.35000000000000003	0.4	174669	0.8159895056430994
B0_fisher_cells_nomarker	0.4	0.45	211158	0.9864527307798497
B0_fisher_cells_nomarker	0.45	0.5	221717	1.0357805061154015
B0_fisher_cells_nomarker	0.5	0.55	206631	0.9653042471219235
B0_fisher_cells_nomarker	0.55	0.6000000000000001	185780	0.8678960225247468
B0_fisher_cells_nomarker	0.6000000000000001	0.65	205161	0.958436946265473
B0_fisher_cells_nomarker	0.65	0.7000000000000001	187034	0.8737542506022904
B0_fisher_cells_nomarker	0.7000000000000001	0.75	191775	0.8959024637726521
B0_fisher_cells_nomarker	0.75	0.8	177359	0.8285561990470802
B0_fisher_cells_nomarker	0.8	0.8500000000000001	157747	0.7369361280289117
B0_fisher_cells_nomarker	0.8500000000000001	0.9	114923	0.5368781063441246
B0_fisher_cells_nomarker	0.9	0.9500000000000001	56205	0.2625691460114296
B0_fisher_cells_nomarker	0.9500000000000001	1.0	1061209	4.957579234403402
C0_nb_pairwise_nomarker	0.0	0.05	106495	1.0184861524807518
C0_nb_pairwise_nomarker	0.05	0.1	100053	0.9568768018607133
