panel	dataset	version	arm	ranking	metric	value	note	source_file
b	mouse1	v1	precision_default		P@100	0.741372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__precision_default/score_v1__mouse1__precision_default.tsv
b	mouse1	v1	precision_default		R_det@100	0.202106		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__precision_default/score_v1__mouse1__precision_default.tsv
b	mouse1	v2	precision_default		P@100	0.745001		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__precision_default/score_v2__mouse1__precision_default.tsv
b	mouse1	v2	precision_default		R_det@100	0.204790		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__precision_default/score_v2__mouse1__precision_default.tsv
b	mouse2	prime	precision_default		P@100	0.757219		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__precision_default/score_prime__mouse2__precision_default.tsv
b	mouse2	prime	precision_default		R_det@100	0.208002		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__precision_default/score_prime__mouse2__precision_default.tsv
b	mouse2	v1	precision_default		P@100	0.755389		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__precision_default/score_v1__mouse2__precision_default.tsv
b	mouse2	v1	precision_default		R_det@100	0.204853		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__precision_default/score_v1__mouse2__precision_default.tsv
b	mouse2	v2	precision_default		P@100	0.757219		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__precision_default/score_v2__mouse2__precision_default.tsv
b	mouse2	v2	precision_default		R_det@100	0.208002		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__precision_default/score_v2__mouse2__precision_default.tsv
b	pbmc10k	prime	precision_default		P@100	0.706195		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__precision_default/score_prime__pbmc10k__precision_default.tsv
b	pbmc10k	prime	precision_default		R_det@100	0.175443		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__precision_default/score_prime__pbmc10k__precision_default.tsv
b	pbmc10k	v1	precision_default		P@100	0.716673		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__precision_default/score_v1__pbmc10k__precision_default.tsv
b	pbmc10k	v1	precision_default		R_det@100	0.170694		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__precision_default/score_v1__pbmc10k__precision_default.tsv
b	pbmc10k	v2	precision_default		P@100	0.706195		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__precision_default/score_v2__pbmc10k__precision_default.tsv
b	pbmc10k	v2	precision_default		R_det@100	0.175443		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__precision_default/score_v2__pbmc10k__precision_default.tsv
b	pbmc10k	v2_noIP	ge2mol_noIP_POSTHOC		P@100	0.590726	v2 run with no behaviour flag	/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2_noIP__pbmc10k__ge2mol_noIP_POSTHOC/score_v2_noIP__pbmc10k__ge2mol_noIP_POSTHOC.tsv
b	pbmc10k	v2_noIP	ge2mol_noIP_POSTHOC		R_det@100	0.191109	v2 run with no behaviour flag	/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2_noIP__pbmc10k__ge2mol_noIP_POSTHOC/score_v2_noIP__pbmc10k__ge2mol_noIP_POSTHOC.tsv
b	pbmc4k	prime	precision_default		P@100	0.827883		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc4k__precision_default/score_prime__pbmc4k__precision_default.tsv
b	pbmc4k	prime	precision_default		R_det@100	0.110389		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc4k__precision_default/score_prime__pbmc4k__precision_default.tsv
b	pbmc4k	v2	precision_default		P@100	0.827883		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc4k__precision_default/score_v2__pbmc4k__precision_default.tsv
b	pbmc4k	v2	precision_default		R_det@100	0.110389		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc4k__precision_default/score_v2__pbmc4k__precision_default.tsv
c	pbmc10k	prime	full		P@100	0.204423		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__full/score_prime__pbmc10k__full.tsv
c	pbmc10k	prime	full		R_det@100	0.304255		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__full/score_prime__pbmc10k__full.tsv
c	pbmc10k	prime	full		null_P@100_mean3	0.022661		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__full/score_prime__pbmc10k__full.tsv
c	pbmc10k	prime	precision_default		P@100	0.706195		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__precision_default/score_prime__pbmc10k__precision_default.tsv
c	pbmc10k	prime	precision_default		R_det@100	0.175443		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__precision_default/score_prime__pbmc10k__precision_default.tsv
c	pbmc10k	prime	precision_default		null_P@100_mean3	0.021688		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__pbmc10k__precision_default/score_prime__pbmc10k__precision_default.tsv
c	pbmc10k	shipped	full		P@100	0.117538		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__pbmc10k__full/score_shipped__pbmc10k__full.tsv
c	pbmc10k	shipped	full		R_det@100	0.156189		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__pbmc10k__full/score_shipped__pbmc10k__full.tsv
c	pbmc10k	shipped	full		null_P@100_mean3	0.022745		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__pbmc10k__full/score_shipped__pbmc10k__full.tsv
c	pbmc10k	v1	full		P@100	0.202981		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__full/score_v1__pbmc10k__full.tsv
c	pbmc10k	v1	full		R_det@100	0.297921		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__full/score_v1__pbmc10k__full.tsv
c	pbmc10k	v1	full		null_P@100_mean3	0.022482		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__full/score_v1__pbmc10k__full.tsv
c	pbmc10k	v1	precision_default		P@100	0.716673		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__precision_default/score_v1__pbmc10k__precision_default.tsv
c	pbmc10k	v1	precision_default		R_det@100	0.170694		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__precision_default/score_v1__pbmc10k__precision_default.tsv
c	pbmc10k	v1	precision_default		null_P@100_mean3	0.022098		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__pbmc10k__precision_default/score_v1__pbmc10k__precision_default.tsv
c	pbmc10k	v2	full		P@100	0.204423		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__full/score_v2__pbmc10k__full.tsv
c	pbmc10k	v2	full		R_det@100	0.304255		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__full/score_v2__pbmc10k__full.tsv
c	pbmc10k	v2	full		null_P@100_mean3	0.022661		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__full/score_v2__pbmc10k__full.tsv
c	pbmc10k	v2	precision_default		P@100	0.706195		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__precision_default/score_v2__pbmc10k__precision_default.tsv
c	pbmc10k	v2	precision_default		R_det@100	0.175443		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__precision_default/score_v2__pbmc10k__precision_default.tsv
c	pbmc10k	v2	precision_default		null_P@100_mean3	0.021688		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__pbmc10k__precision_default/score_v2__pbmc10k__precision_default.tsv
c	pbmc_10k_v3	competitor:SCAPTURE	tool call set		P@100	0.651808	single	results/benchmark_tools/pbmc_10k_v3/scapture/score_scapture.tsv
c	pbmc_10k_v3	competitor:SCAPTURE	tool call set		R_det@100	0.117561	single	results/benchmark_tools/pbmc_10k_v3/scapture/score_scapture.tsv
c	pbmc_10k_v3	competitor:Sierra	tool call set		P@100	0.255854	single	results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
c	pbmc_10k_v3	competitor:Sierra	tool call set		R_det@100	0.135006	single	results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
c	pbmc_10k_v3	competitor:polyApipe	tool call set		P@100	0.379966	single	results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv
c	pbmc_10k_v3	competitor:polyApipe	tool call set		R_det@100	0.198796	single	results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv
c	pbmc_10k_v3	competitor:scAPAtrap	tool call set		P@100	0.099919	single	results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
c	pbmc_10k_v3	competitor:scAPAtrap	tool call set		R_det@100	0.300376	single	results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
c	pbmc_10k_v3	competitor:scUTRquant	tool call set		P@100	0.792591	single	results/benchmark_tools/pbmc_10k_v3/scutrquant/score_scutrquant.tsv
c	pbmc_10k_v3	competitor:scUTRquant	tool call set		R_det@100	0.177663	single	results/benchmark_tools/pbmc_10k_v3/scutrquant/score_scutrquant.tsv
d	gse104556	competitor:SCAPTURE	tool call set		P@100	0.693550	mouse1	results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
d	gse104556	competitor:SCAPTURE	tool call set		R_det@100	0.155092	mouse1	results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
d	gse104556	competitor:Sierra	tool call set		P@100	0.508736	mouse1	results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
d	gse104556	competitor:Sierra	tool call set		P@100	0.581064	mouse2	results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
d	gse104556	competitor:Sierra	tool call set		R_det@100	0.107052	mouse1	results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
d	gse104556	competitor:Sierra	tool call set		R_det@100	0.117298	mouse2	results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
d	gse104556	competitor:polyApipe	tool call set		P@100	0.400516	mouse1	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
d	gse104556	competitor:polyApipe	tool call set		P@100	0.411943	mouse2	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
