mouse	pas_subset	n_genes	stages	PDUI_Spermatogonia	PDUI_Spermatocyte	PDUI_RoundSpermatid	PDUI_Elongating	monotone_down	delta_last_first	gene_rho	gene_p	wilcoxon_p	frac_genes_shortening
mouse1	all	2624	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6678258388401878	0.6663332410168687	0.6598662884789631	0.6506639876371636	True	-0.01716185120302416	0.0006696814820010183	0.9453074647903845	0.260750665172208	0.44740853658536583
mouse1	atlas	1036	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6079864215013181	0.5971227221014354	0.5651387227896607	0.5519415030182041	True	-0.05604491848311399	-0.054218280145534495	0.00047985281411426365	6.923283198457555e-13	0.5656370656370656
mouse1	utr3	734	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5462906838105942	0.52168020911491	0.4766382531509656	0.46341469706947713	True	-0.08287598674111707	-0.0868710020931795	2.4289713312761457e-06	1.6761540316452724e-22	0.6212534059945504
mouse1	noatlas	706	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5203109501762023	0.5080455003086872	0.5127688417059153	0.5019221102680332	False	-0.018388839908169086	-0.032485855986852184	0.08434155786712215	0.04369387211060418	0.47592067988668557
mouse2	all	2096	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6897648299119232	0.693540658099143	0.6802927287720564	0.6661737861698759	False	-0.023591043742047346	0.01800092008374794	0.09932654173708069	0.5682192097306422	0.43940839694656486
mouse2	atlas	899	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.6246396495671022	0.6165895621934793	0.5849593883661979	0.5738115201143428	True	-0.050828129452759385	-0.03585220372443228	0.031564669173197384	5.246105033434245e-07	0.5361512791991101
mouse2	utr3	635	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5593603696752398	0.5341063714673	0.47923970626382517	0.4537394974423723	True	-0.10562087223286754	-0.10460938700534021	1.2635541815299713e-07	4.2331346706311643e-22	0.631496062992126
mouse2	noatlas	488	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5610348526274244	0.5522212208538653	0.5600764906129204	0.5473508133340659	False	-0.013684039293358485	-0.018106149231303558	0.4239953665707261	0.7239542889980068	0.4487704918032787
